class_ar,booming,booming_confidence,shrinking,shrinking_confidence,top_5_companies,,,,,,,,
  صُنع الفلزّات الثمينة وغير الحديدية القاعدية,1,mid,1,mid,القاهرة زراعة محدودة (31.75%) | القاهرة خدمات محدودة (14.26%) | الدلتا زراعة ذ.م.م (11.99%) | الأهرام تقنية ش.م.م (9.09%) | النيل بلاستيك ش.م.م (7.40%),,,,,,,,
  صُنع المحركات والمولِّدات والمحولات الكهربائية وأجهزة توزيع الكهرباء والتحكُّم فيها,0,,1,high,حورس أغذية ش.ذ.م.م (75.57%) | الجيزة كيماويات ش.م.م (15.32%) | سيناء أغذية محدودة (9.11%),,,,,,,,
  صُنع المركبات الجوية والفضائية والآلات المتصلة بها,0,,1,mid,النيل أغذية ش.ذ.م.م (32.10%) | اللوتس زراعة ش.ذ.م.م (18.60%) | مصر خدمات ش.م.م (15.28%) | الأهرام تقنية محدودة (13.66%) | الجيزة زراعة ش.م.م (8.08%),,,,,,,,
  صُنع المركبات ذات المحركات,1,mid,0,,الجيزة تقنية محدودة (26.03%) | حورس أغذية ذ.م.م (19.81%) | القاهرة تجارة محدودة (15.16%) | الإسكندرية تقنية ذ.م.م (10.63%) | سيناء خدمات محدودة (9.90%),,,,,,,,
  صُنع المعدات الكهربائية الأخرى,0,,1,mid,الجيزة أغذية ذ.م.م (25.35%) | الإسكندرية تقنية ذ.م.م (23.75%) | الأهرام زراعة ش.م.م (21.84%) | الدلتا أغذية ذ.م.م (12.99%) | مصر صلب محدودة (5.47%),,,,,,,,
  صُنع المكونات واللوحات الإلكترونية,0,,1,mid,مصر منسوجات ذ.م.م (15.56%) | اللوتس أغذية ذ.م.م (14.52%) | حورس لوجستيات محدودة (13.71%) | الدلتا صلب ش.ذ.م.م (12.42%) | سيناء أغذية محدودة (11.08%),,,,,,,,
  صُنع الملبوسات باستثناء الملبوسات الفرائية,0,,1,mid,الجيزة زراعة محدودة (29.53%) | الإسكندرية تجارة ش.ذ.م.م (24.16%) | اللوتس خدمات محدودة (12.81%) | اللوتس تجارة محدودة (8.03%) | حورس أغذية ش.ذ.م.م (5.92%),,,,,,,,
  صُنع الملبوسات من التريكو والكروشيه,0,,1,mid,سيناء تجارة ش.ذ.م.م (26.87%) | الدلتا كيماويات ش.ذ.م.م (16.36%) | الإسكندرية بلاستيك ش.ذ.م.م (13.17%) | الدلتا منسوجات محدودة (10.41%) | الجيزة بلاستيك ش.ذ.م.م (7.70%),,,,,,,,
  صُنع المنتجات النفطية المكررة,0,,0,,اللوتس أغذية ش.ذ.م.م (23.58%) | مصر تقنية ش.م.م (22.49%) | الدلتا أغذية ش.ذ.م.م (18.81%) | الأهرام بلاستيك ذ.م.م (13.60%) | حورس لوجستيات ش.ذ.م.م (9.07%),,,,,,,,
  صُنع المواد الصيدلانية والمنتجات الدوائية الكيميائية والنباتية,0,,1,mid,الإسكندرية منسوجات محدودة (36.39%) | النيل صلب محدودة (29.73%) | الدلتا خدمات ش.م.م (17.05%) | النيل صلب ذ.م.م (11.74%) | الأهرام تجارة ش.م.م (2.46%),,,,,,,,
  صُنع الوسائط المغناطيسية والبصرية,0,,1,high,الأهرام تجارة ذ.م.م (19.52%) | مصر بلاستيك محدودة (11.85%) | سيناء بلاستيك ش.م.م (11.42%) | الأهرام أغذية ش.م.م (11.21%) | سيناء منسوجات ذ.م.م (10.31%),,,,,,,,
"  صُنع غاز الاستصباح، وتوزيع أنواع الوقود الغازية عن طريق أنابيب رئيسية",0,,0,,اللوتس خدمات محدودة (19.74%) | القاهرة لوجستيات محدودة (15.98%) | الإسكندرية لوجستيات ش.ذ.م.م (8.28%) | النيل بلاستيك ش.ذ.م.م (6.35%) | الجيزة تجارة ش.ذ.م.م (6.24%),,,,,,,,
  صُنع قاطرات (جرّارات) وعربات السكك الحديدية,0,,1,mid,اللوتس زراعة ش.ذ.م.م (32.08%) | الأهرام تقنية ش.م.م (23.64%) | سيناء تجارة ذ.م.م (20.70%) | الجيزة زراعة ذ.م.م (15.92%) | الجيزة كيماويات محدودة (3.90%),,,,,,,,
  صُنع مركبات القتال العسكرية,0,,1,mid,النيل منسوجات ش.م.م (30.87%) | حورس لوجستيات محدودة (23.97%) | الجيزة منسوجات ش.م.م (22.76%) | النيل لوجستيات ش.م.م (8.65%) | الجيزة منسوجات محدودة (8.44%),,,,,,,,
  صُنع معدات الإضاءة الكهربائية,1,mid,0,,الإسكندرية صلب محدودة (19.97%) | الأهرام أغذية ش.ذ.م.م (17.16%) | الأهرام تجارة ذ.م.م (15.42%) | حورس زراعة ذ.م.م (10.21%) | الجيزة صلب محدودة (7.89%),,,,,,,,
  صُنع معدات الاتصالات,1,mid,0,,النيل تجارة محدودة (17.12%) | مصر خدمات ش.ذ.م.م (15.42%) | الإسكندرية تقنية ش.ذ.م.م (13.90%) | الإسكندرية لوجستيات ش.م.م (13.82%) | مصر زراعة ش.ذ.م.م (11.97%),,,,,,,,
  صُنع معدات التشعيع والمعدات الكهربائية الطبية والعلاجية,0,,1,mid,الإسكندرية أغذية ش.ذ.م.م (37.74%) | النيل كيماويات ش.ذ.م.م (27.81%) | اللوتس منسوجات ذ.م.م (19.82%) | النيل منسوجات ش.ذ.م.م (10.00%) | مصر صلب محدودة (4.64%),,,,,,,,
  صُنع منتجات أفران الكوك,0,,0,,الأهرام منسوجات ش.ذ.م.م (35.54%) | القاهرة بلاستيك محدودة (27.04%) | القاهرة خدمات ذ.م.م (13.03%) | النيل لوجستيات ش.م.م (11.00%) | القاهرة تجارة محدودة (7.32%),,,,,,,,
  صُنع منتجات التبغ,0,,1,high,حورس زراعة محدودة (27.76%) | النيل منسوجات ش.م.م (24.58%) | حورس تقنية ش.م.م (21.54%) | الدلتا لوجستيات ذ.م.م (11.97%) | حورس أغذية محدودة (10.95%),,,,,,,,
  قطع الأخشاب,0,,1,mid,النيل كيماويات ش.ذ.م.م (27.24%) | مصر تقنية محدودة (14.32%) | سيناء صلب محدودة (13.34%) | الإسكندرية منسوجات ش.ذ.م.م (12.22%) | الدلتا تقنية ش.ذ.م.م (7.76%),,,,,,,,
  مرافق الإقامة الأخرى,1,mid,0,,الإسكندرية زراعة ذ.م.م (10.21%) | الدلتا زراعة ذ.م.م (5.87%) | القاهرة كيماويات ذ.م.م (5.87%) | النيل أغذية ذ.م.م (5.27%) | الإسكندرية تقنية ذ.م.م (5.14%),,,,,,,,
  نشر البرمجيات,1,mid,0,,حورس بلاستيك ش.ذ.م.م (12.31%) | مصر تقنية ش.ذ.م.م (10.43%) | الإسكندرية أغذية محدودة (8.94%) | الجيزة لوجستيات ش.ذ.م.م (8.00%) | الأهرام منسوجات ش.م.م (7.96%),,,,,,,,
  نشر الخشب وسحجه,0,,0,,حورس كيماويات ذ.م.م (37.22%) | الأهرام خدمات ش.م.م (21.05%) | الجيزة زراعة ش.م.م (16.18%) | مصر منسوجات محدودة (13.32%) | النيل لوجستيات ش.م.م (6.94%),,,,,,,,
 أبحاث السوق واستطلاعات الرأي,0,,1,mid,النيل منسوجات محدودة (15.76%) | سيناء منسوجات ذ.م.م (13.46%) | مصر بلاستيك ش.ذ.م.م (7.39%) | النيل تقنية ش.م.م (5.76%) | النيل صلب ذ.م.م (5.26%),,,,,,,,
 أشكال منح القروض الأخرى,0,,0,,القاهرة خدمات ش.م.م (28.38%) | الدلتا منسوجات ذ.م.م (25.23%) | مصر بلاستيك ش.ذ.م.م (17.01%) | سيناء خدمات ش.ذ.م.م (12.88%) | سيناء لوجستيات ذ.م.م (9.22%),,,,,,,,
 أعمال السباكة والتدفئة وتكييف الهواء,1,mid,0,,حورس أغذية ذ.م.م (6.23%) | سيناء صلب ذ.م.م (4.04%) | الإسكندرية صلب ش.م.م (3.70%) | حورس لوجستيات ذ.م.م (3.48%) | النيل بلاستيك محدودة (3.16%),,,,,,,,
 أنشطة أخرى مساعدة للتأمين وتمويل المعاشات التقاعدية,0,,1,mid,اللوتس بلاستيك ش.م.م (16.77%) | القاهرة خدمات ذ.م.م (11.22%) | القاهرة تقنية محدودة (10.01%) | حورس تجارة محدودة (8.49%) | النيل زراعة ذ.م.م (8.38%),,,,,,,,
 أنشطة إدارة الأموال,0,,1,high,مصر بلاستيك ش.م.م (18.29%) | مصر تجارة ش.م.م (15.15%) | اللوتس خدمات محدودة (12.54%) | اللوتس تجارة ذ.م.م (11.10%) | الإسكندرية تقنية محدودة (9.51%),,,,,,,,
 أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية,0,,0,,النيل تقنية ش.م.م (13.71%) | النيل تجارة ذ.م.م (13.43%) | الدلتا زراعة ش.م.م (11.44%) | الأهرام منسوجات ش.ذ.م.م (8.81%) | الجيزة صلب ش.م.م (8.77%),,,,,,,,
 أنشطة الأمن الخاصة,0,,1,high,سيناء منسوجات ذ.م.م (20.02%) | الإسكندرية تقنية ذ.م.م (17.96%) | الإسكندرية صلب محدودة (15.28%) | سيناء لوجستيات ذ.م.م (14.34%) | حورس صلب محدودة (10.47%),,,,,,,,
 أنشطة الأُسَر المعيشية التي تستخدم أفراداً للعمل المنزلي,1,mid,1,mid,الدلتا منسوجات ش.ذ.م.م (39.20%) | حورس زراعة ش.م.م (19.90%) | مصر بلاستيك محدودة (13.48%) | الدلتا أغذية ش.م.م (13.21%) | حورس منسوجات محدودة (9.68%),,,,,,,,
 أنشطة الإقامة القصيرة المدى,0,,0,,اللوتس بلاستيك ذ.م.م (7.76%) | الإسكندرية تقنية ش.ذ.م.م (5.89%) | اللوتس تجارة ش.م.م (4.20%) | الدلتا منسوجات ش.ذ.م.م (4.14%) | حورس صلب محدودة (3.87%),,,,,,,,
 أنشطة الاتصالات الأخرى,0,,0,,القاهرة أغذية ش.م.م (14.70%) | سيناء صلب ذ.م.م (14.04%) | سيناء منسوجات ش.ذ.م.م (12.81%) | سيناء أغذية ش.م.م (11.90%) | القاهرة أغذية ذ.م.م (10.13%),,,,,,,,
 أنشطة الاتصالات الساتلية,1,mid,0,,الجيزة زراعة ش.م.م (14.58%) | النيل لوجستيات ش.ذ.م.م (13.71%) | اللوتس أغذية ذ.م.م (8.93%) | الأهرام زراعة محدودة (8.91%) | حورس تجارة محدودة (8.22%),,,,,,,,
 أنشطة الاتصالات السلكية,1,mid,0,,الجيزة صلب ش.ذ.م.م (21.82%) | مصر منسوجات ش.م.م (10.57%) | النيل صلب ش.ذ.م.م (9.79%) | الجيزة تقنية ش.ذ.م.م (9.53%) | الدلتا صلب ش.م.م (7.27%),,,,,,,,
 أنشطة الاتصالات اللاسلكية,1,mid,0,,مصر منسوجات محدودة (17.68%) | سيناء بلاستيك محدودة (12.35%) | القاهرة لوجستيات محدودة (10.05%) | سيناء صلب ذ.م.م (7.07%) | سيناء كيماويات محدودة (6.18%),,,,,,,,
 أنشطة البرمجة الحاسوبية,0,,0,,الجيزة كيماويات ش.م.م (10.99%) | مصر زراعة محدودة (10.46%) | الأهرام خدمات ش.م.م (10.35%) | سيناء لوجستيات ش.ذ.م.م (10.32%) | اللوتس تقنية ش.م.م (10.17%),,,,,,,,
 أنشطة التحقيقات,1,mid,1,mid,الأهرام زراعة ش.ذ.م.م (27.05%) | الدلتا زراعة محدودة (24.77%) | مصر تجارة ش.م.م (20.95%) | سيناء تقنية محدودة (7.11%) | الأهرام كيماويات محدودة (6.47%),,,,,,,,
 أنشطة التسلية والترفيه الأخرى غير المصنّفة في موضع آخر,1,high,0,,سيناء تقنية ش.م.م (58.41%) | الإسكندرية منسوجات محدودة (23.02%) | الأهرام لوجستيات ش.ذ.م.م (10.03%) | سيناء أغذية محدودة (4.43%) | سيناء خدمات ش.ذ.م.م (4.13%),,,,,,,,
 أنشطة التعدين واستغلال المحاجر غير المصنَّفة في موضع آخر,0,,1,high,مصر كيماويات محدودة (33.91%) | الدلتا خدمات ذ.م.م (26.35%) | الإسكندرية لوجستيات ذ.م.م (12.44%) | سيناء صلب محدودة (9.98%) | النيل منسوجات ذ.م.م (8.86%),,,,,,,,
 أنشطة التغليف والتعبئة,0,,1,mid,القاهرة أغذية ذ.م.م (26.20%) | الإسكندرية خدمات ش.ذ.م.م (16.30%) | الإسكندرية صلب ش.م.م (14.32%) | الإسكندرية صلب ش.ذ.م.م (11.77%) | سيناء كيماويات ش.ذ.م.م (6.85%),,,,,,,,
 أنشطة الجنازات وما يتصل بها من أنشطة,1,mid,0,,الإسكندرية تقنية ش.م.م (21.30%) | الإسكندرية أغذية ذ.م.م (14.79%) | النيل بلاستيك ش.ذ.م.م (10.03%) | مصر تجارة محدودة (8.36%) | مصر لوجستيات ذ.م.م (7.57%),,,,,,,,
 أنشطة الخبرة الاستشارية الحاسوبية وإدارة المرافق الحاسوبية,0,,0,,الجيزة خدمات ش.م.م (24.28%) | سيناء أغذية ذ.م.م (21.24%) | الإسكندرية صلب محدودة (17.20%) | اللوتس تجارة ش.م.م (13.82%) | سيناء خدمات ش.ذ.م.م (5.68%),,,,,,,,
 أنشطة الخدمات الإدارية المتكاملة للمكاتب,0,,1,high,سيناء أغذية ش.ذ.م.م (23.82%) | سيناء بلاستيك محدودة (18.89%) | الإسكندرية لوجستيات محدودة (17.20%) | النيل كيماويات ش.ذ.م.م (14.60%) | القاهرة زراعة ذ.م.م (5.07%),,,,,,,,
 أنشطة الخدمات الشخصية الأخرى غير المصنّفة في موضع آخر,0,,1,mid,النيل بلاستيك محدودة (9.96%) | الإسكندرية كيماويات ذ.م.م (9.12%) | سيناء تجارة ش.ذ.م.م (9.09%) | الأهرام تجارة ذ.م.م (8.20%) | الدلتا صلب ش.ذ.م.م (7.84%),,,,,,,,
" أنشطة الخدمات المالية الأخرى باستثناء التأمين وتمويل المعاشات التقاعدية، غير المصنّفة في موضع آخر",1,mid,1,mid,الجيزة زراعة ش.ذ.م.م (31.10%) | الدلتا صلب ش.ذ.م.م (18.84%) | اللوتس كيماويات ذ.م.م (12.74%) | الأهرام كيماويات ش.ذ.م.م (11.93%) | اللوتس لوجستيات ذ.م.م (7.95%),,,,,,,,
 أنشطة الخدمات المتصلة بالطباعة,0,,0,,مصر منسوجات محدودة (26.47%) | الدلتا كيماويات ذ.م.م (17.73%) | القاهرة كيماويات ذ.م.م (16.82%) | الدلتا منسوجات ش.ذ.م.م (9.34%) | النيل تجارة محدودة (8.04%),,,,,,,,
 أنشطة الخدمات المتصلة بالنقل البري,1,mid,0,,مصر تجارة ش.ذ.م.م (11.33%) | الإسكندرية خدمات ش.ذ.م.م (10.89%) | الأهرام خدمات ش.ذ.م.م (9.34%) | مصر تجارة ذ.م.م (8.19%) | الدلتا منسوجات ذ.م.م (8.02%),,,,,,,,
 أنشطة الخدمات المتصلة بالنقل الجوي,0,,1,mid,الأهرام تقنية ذ.م.م (13.74%) | حورس تجارة ش.م.م (11.70%) | الإسكندرية أغذية ش.ذ.م.م (8.59%) | مصر تجارة محدودة (7.75%) | مصر بلاستيك ش.ذ.م.م (7.31%),,,,,,,,
 أنشطة الخدمات المتصلة بالنقل المائي,0,,0,,سيناء تقنية ذ.م.م (15.99%) | الجيزة بلاستيك ش.ذ.م.م (11.11%) | مصر بلاستيك ش.ذ.م.م (8.37%) | حورس بلاستيك ش.ذ.م.م (7.61%) | الإسكندرية زراعة ش.م.م (7.18%),,,,,,,,
 أنشطة الدعم لإنتاج المحاصيل,0,,1,mid,مصر كيماويات ذ.م.م (22.26%) | اللوتس لوجستيات ش.م.م (21.65%) | الإسكندرية صلب ش.م.م (16.65%) | القاهرة بلاستيك محدودة (11.93%) | مصر زراعة محدودة (8.07%),,,,,,,,
 أنشطة الدعم للإنتاج الحيواني,0,,1,mid,مصر زراعة ش.م.م (22.41%) | الدلتا تجارة ش.ذ.م.م (21.12%) | الإسكندرية بلاستيك ش.ذ.م.م (9.82%) | النيل أغذية ش.ذ.م.م (7.02%) | الجيزة تقنية محدودة (6.73%),,,,,,,,
 أنشطة الدفاع,0,,0,,مصر خدمات ش.ذ.م.م (39.24%) | حورس تجارة محدودة (29.21%) | الأهرام منسوجات ش.ذ.م.م (22.72%) | الدلتا كيماويات ش.م.م (8.83%),,,,,,,,
 أنشطة الرعاية مع الإقامة للمتخلفين عقلياً والمرضى النفسانيين والمدمنين,0,,0,,الإسكندرية تقنية ش.م.م (16.68%) | النيل بلاستيك ش.م.م (10.74%) | الدلتا لوجستيات ش.ذ.م.م (8.70%) | القاهرة تجارة ش.م.م (7.81%) | اللوتس لوجستيات محدودة (6.10%),,,,,,,,
 أنشطة العيادات الطبية وعيادات الأسنان,0,,0,,الإسكندرية تجارة محدودة (21.20%) | الأهرام تقنية ش.ذ.م.م (11.43%) | مصر لوجستيات ش.ذ.م.م (7.75%) | النيل كيماويات ذ.م.م (7.22%) | النيل لوجستيات ذ.م.م (7.15%),,,,,,,,
 أنشطة المتاحف وتشغيل المواقع والمباني التاريخية,0,,1,high,اللوتس زراعة ذ.م.م (38.03%) | الإسكندرية خدمات محدودة (23.02%) | سيناء صلب ش.م.م (11.25%) | النيل لوجستيات ذ.م.م (9.10%) | القاهرة منسوجات ش.م.م (8.83%),,,,,,,,
 أنشطة المكتبات والمحفوظات,0,,1,high,الإسكندرية تجارة محدودة (30.39%) | مصر بلاستيك ش.ذ.م.م (19.70%) | مصر منسوجات محدودة (11.83%) | مصر لوجستيات محدودة (10.63%) | سيناء خدمات ذ.م.م (10.48%),,,,,,,,
 أنشطة المنظمات الأخرى ذات العضوية غير المصنَّفة في موضع آخر,0,,1,mid,الإسكندرية خدمات ش.م.م (13.49%) | الدلتا تقنية ذ.م.م (13.41%) | النيل خدمات ذ.م.م (10.72%) | الدلتا أغذية ش.م.م (6.41%) | القاهرة منسوجات ش.ذ.م.م (5.65%),,,,,,,,
 أنشطة المنظمات الدينية,0,,0,,النيل أغذية ش.ذ.م.م (12.12%) | سيناء منسوجات ذ.م.م (10.89%) | مصر خدمات ش.ذ.م.م (7.79%) | الدلتا لوجستيات ش.م.م (7.52%) | النيل أغذية ش.م.م (6.30%),,,,,,,,
 أنشطة المنظمات السياسية,0,,1,mid,الأهرام بلاستيك ذ.م.م (12.21%) | الأهرام تقنية ذ.م.م (7.90%) | الإسكندرية تجارة محدودة (6.54%) | الجيزة أغذية محدودة (6.37%) | حورس زراعة ش.ذ.م.م (6.04%),,,,,,,,
 أنشطة المنظمات المهنية ذات العضوية,0,,1,mid,حورس لوجستيات ش.ذ.م.م (20.41%) | القاهرة أغذية ش.ذ.م.م (10.87%) | سيناء منسوجات ش.م.م (7.70%) | الأهرام لوجستيات ش.ذ.م.م (7.21%) | حورس تجارة ش.ذ.م.م (6.50%),,,,,,,,
 أنشطة المنظمات ذات العضوية لرجال الأعمال وأصحاب العمل,0,,1,mid,الإسكندرية خدمات ذ.م.م (13.06%) | مصر منسوجات ذ.م.م (12.20%) | الأهرام بلاستيك ش.ذ.م.م (11.05%) | اللوتس منسوجات ش.م.م (9.76%) | حورس تجارة ش.م.م (7.86%),,,,,,,,
 أنشطة المنظمات والهيئات غير الخاضعة للولاية القضائية الوطنية,0,,1,mid,مصر أغذية ش.م.م (22.34%) | الإسكندرية تقنية ش.ذ.م.م (18.64%) | سيناء تجارة ش.ذ.م.م (14.40%) | اللوتس لوجستيات ذ.م.م (13.23%) | الأهرام أغذية محدودة (11.15%),,,,,,,,
 أنشطة النشر الأخرى,1,high,0,,القاهرة كيماويات محدودة (14.04%) | اللوتس تجارة ش.ذ.م.م (10.32%) | اللوتس خدمات ش.ذ.م.م (9.76%) | الجيزة كيماويات ذ.م.م (8.53%) | الأهرام منسوجات محدودة (8.31%),,,,,,,,
 أنشطة النظام العام والسلامة,0,,1,high,اللوتس منسوجات ش.م.م (82.68%) | الإسكندرية منسوجات ذ.م.م (9.14%) | الأهرام زراعة محدودة (8.17%),,,,,,,,
 أنشطة النوادي الرياضية,0,,1,mid,الإسكندرية خدمات محدودة (68.03%) | اللوتس بلاستيك محدودة (17.34%) | الجيزة بلاستيك محدودة (11.74%) | القاهرة لوجستيات محدودة (1.75%) | مصر كيماويات محدودة (1.14%),,,,,,,,
 أنشطة الوساطة المتعلقة بعقود الأوراق المالية والسلع الأساسية,0,,1,high,الجيزة زراعة ش.ذ.م.م (25.88%) | مصر تقنية ذ.م.م (22.89%) | النيل تقنية ش.م.م (19.39%) | مصر منسوجات ش.ذ.م.م (9.89%) | حورس بلاستيك محدودة (6.43%),,,,,,,,
 أنشطة تنظيف المباني والتنظيف الصناعي الأخرى,0,,0,,سيناء كيماويات ذ.م.م (40.11%) | حورس تجارة ش.ذ.م.م (11.38%) | الإسكندرية منسوجات محدودة (10.72%) | سيناء منسوجات ذ.م.م (7.42%) | الجيزة كيماويات محدودة (6.35%),,,,,,,,
 أنشطة توزيع الأفلام السينمائية والفيديو والبرامج التليفزيونية,0,,0,,اللوتس لوجستيات ذ.م.م (17.11%) | القاهرة أغذية ش.ذ.م.م (11.30%) | الأهرام صلب ش.ذ.م.م (10.10%) | الجيزة كيماويات ش.م.م (9.25%) | اللوتس كيماويات ذ.م.م (9.01%),,,,,,,,
 أنشطة حدائق النباتات وحدائق الحيوان والمحميات الطبيعية,0,,1,mid,القاهرة تقنية ذ.م.م (28.42%) | اللوتس لوجستيات ذ.م.م (24.37%) | الدلتا خدمات ش.م.م (13.84%) | الأهرام كيماويات ش.ذ.م.م (12.01%) | الأهرام بلاستيك ش.م.م (9.43%),,,,,,,,
 أنشطة خدمات الدعم الأخرى للأعمال غير المصنّفة في موضع آخر,0,,1,mid,مصر خدمات ش.ذ.م.م (25.82%) | النيل لوجستيات ش.ذ.م.م (15.76%) | حورس خدمات ذ.م.م (12.59%) | الأهرام أغذية ش.م.م (12.48%) | حورس تجارة محدودة (10.67%),,,,,,,,
 أنشطة خدمات الطعام الأخرى,1,mid,0,,الإسكندرية كيماويات ذ.م.م (6.50%) | النيل خدمات ش.م.م (6.21%) | حورس أغذية ش.م.م (5.21%) | الجيزة بلاستيك محدودة (4.55%) | سيناء خدمات ش.م.م (4.41%),,,,,,,,
 أنشطة خدمات المعلومات الأخرى غير المصنّفة في موضع آخر,0,,0,,مصر كيماويات ش.م.م (18.41%) | مصر كيماويات ش.م.م (16.23%) | الإسكندرية خدمات محدودة (12.26%) | الإسكندرية منسوجات ش.ذ.م.م (10.82%) | الإسكندرية بلاستيك ذ.م.م (10.49%),,,,,,,,
 أنشطة خدمات تكنولوجيا المعلومات والحاسوب الأخرى,0,,0,,الدلتا خدمات ذ.م.م (18.26%) | الجيزة لوجستيات ش.ذ.م.م (11.97%) | سيناء كيماويات ش.م.م (9.79%) | الدلتا كيماويات ذ.م.م (8.10%) | حورس تجارة ش.ذ.م.م (7.73%),,,,,,,,
 أنشطة دعم النقل الأخرى,0,,0,,الأهرام زراعة ذ.م.م (13.93%) | اللوتس زراعة محدودة (10.39%) | مصر تجارة ذ.م.م (9.48%) | اللوتس صلب ش.ذ.م.م (9.25%) | الإسكندرية تجارة ش.ذ.م.م (8.69%),,,,,,,,
 أنشطة شركات نقل البريد الخاصة,0,,1,mid,مصر صلب ش.ذ.م.م (11.20%) | الأهرام تقنية محدودة (10.97%) | القاهرة صلب ذ.م.م (9.74%) | الدلتا لوجستيات ذ.م.م (9.71%) | الدلتا زراعة ش.ذ.م.م (9.34%),,,,,,,,
 أنشطة عرض الأفلام السينمائية,1,high,0,,الجيزة صلب ش.م.م (24.49%) | النيل تقنية ذ.م.م (10.29%) | النيل صلب ش.ذ.م.م (7.05%) | الأهرام خدمات ش.ذ.م.م (7.05%) | الدلتا أغذية محدودة (5.47%),,,,,,,,
 أنشطة ما بعد الإنتاج لأفلام السينما وأفلام الفيديو والبرامج التليفزيونية,0,,1,mid,اللوتس كيماويات ش.ذ.م.م (12.25%) | الإسكندرية بلاستيك محدودة (10.65%) | الجيزة بلاستيك ذ.م.م (10.55%) | الجيزة لوجستيات محدودة (10.00%) | اللوتس كيماويات ش.ذ.م.م (9.72%),,,,,,,,
 أنشطة متكاملة لدعم المرافق,0,,1,mid,القاهرة منسوجات ش.ذ.م.م (31.14%) | حورس أغذية ذ.م.م (16.82%) | اللوتس تقنية محدودة (16.54%) | الدلتا منسوجات محدودة (7.97%) | الإسكندرية زراعة ش.م.م (5.59%),,,,,,,,
 أنشطة محاصيل بعد الحصاد,0,,1,mid,القاهرة لوجستيات ذ.م.م (20.11%) | سيناء بلاستيك ش.ذ.م.م (17.79%) | سيناء لوجستيات ذ.م.م (15.17%) | مصر تقنية محدودة (14.83%) | سيناء بلاستيك محدودة (12.36%),,,,,,,,
 أنشطة مراكز النداء,0,,1,mid,النيل تجارة ش.م.م (22.51%) | القاهرة زراعة محدودة (20.51%) | الأهرام بلاستيك ش.م.م (13.13%) | الدلتا تجارة ش.ذ.م.م (12.09%) | القاهرة تقنية ذ.م.م (10.09%),,,,,,,,
 أنشطة مشغلي الجولات السياحية,1,mid,0,,سيناء منسوجات محدودة (17.84%) | حورس زراعة ش.م.م (16.99%) | مصر منسوجات ش.م.م (14.98%) | الجيزة خدمات ش.ذ.م.م (13.31%) | القاهرة صلب ذ.م.م (6.63%),,,,,,,,
 أنشطة مُدن التسلية ومُدن الألعاب,0,,1,mid,الأهرام كيماويات ذ.م.م (22.07%) | الدلتا كيماويات محدودة (14.86%) | سيناء صلب محدودة (14.00%) | الإسكندرية زراعة ش.م.م (11.78%) | القاهرة تجارة ذ.م.م (9.01%),,,,,,,,
 أنشطة وكالات الأنباء,0,,0,,الأهرام صلب ش.م.م (23.32%) | الإسكندرية خدمات ذ.م.م (16.70%) | سيناء بلاستيك ذ.م.م (14.54%) | الإسكندرية لوجستيات ذ.م.م (11.40%) | الجيزة تجارة ش.ذ.م.م (8.16%),,,,,,,,
 أنشطة وكالات التشغيل,1,mid,1,mid,الجيزة تجارة محدودة (16.87%) | النيل زراعة ش.ذ.م.م (14.58%) | الأهرام كيماويات ش.ذ.م.م (13.01%) | سيناء تجارة ش.م.م (10.26%) | الجيزة تجارة ش.م.م (9.33%),,,,,,,,
 أنشطة وكالات السفر,0,,1,high,اللوتس بلاستيك ش.ذ.م.م (17.96%) | سيناء كيماويات محدودة (17.76%) | مصر تجارة محدودة (15.33%) | مصر تجارة محدودة (13.37%) | الدلتا كيماويات ذ.م.م (7.84%),,,,,,,,
 أنشطة وكالات تحصيل المدفوعات ومكاتب الائتمان,0,,0,,الدلتا منسوجات ش.م.م (23.38%) | سيناء تجارة ش.ذ.م.م (16.22%) | الجيزة زراعة ش.ذ.م.م (11.92%) | الجيزة صلب ش.م.م (10.54%) | الجيزة صلب ذ.م.م (9.29%),,,,,,,,
 أنشطة وكلاء وسماسرة التأمين,1,mid,0,,سيناء خدمات ذ.م.م (27.62%) | الدلتا بلاستيك ذ.م.م (11.45%) | مصر أغذية ذ.م.م (9.47%) | سيناء كيماويات ش.ذ.م.م (7.44%) | سيناء زراعة ش.ذ.م.م (5.30%),,,,,,,,
 أنواع البيع الأخرى بالتجزئة في المتاجر غير المتخصصة,1,very high,0,,حورس بلاستيك ش.ذ.م.م (7.98%) | مصر تقنية ش.م.م (6.96%) | مصر بلاستيك محدودة (6.46%) | الجيزة كيماويات ش.م.م (5.00%) | الدلتا خدمات ش.ذ.م.م (4.63%),,,,,,,,
 أنواع البيع بالتجزئة الأخرى خارج المتاجر والأكشاك والأسواق,0,,0,,سيناء منسوجات ش.ذ.م.م (5.89%) | الأهرام زراعة ش.م.م (5.26%) | حورس زراعة ذ.م.م (4.82%) | حورس تقنية ش.ذ.م.م (4.78%) | حورس لوجستيات ش.ذ.م.م (4.76%),,,,,,,,
