اسم_الشركة,السنة,القطاع,فئة_SME,score,size_mean,size_median,size_std,gap_to_size_mean,rank_within_size_segment,count_in_size_segment,percentile_within_size_segment
الدلتا كيماويات ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.58,6.0507,6.05,0.9776,0.5293,48,143,67.13
اللوتس كيماويات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.56,6.0507,6.05,0.9776,0.5093,49,143,66.43
الجيزة خدمات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.53,6.0507,6.05,0.9776,0.4793,50,143,65.73
الجيزة منسوجات ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.52,6.0507,6.05,0.9776,0.4693,51,143,64.69
الجيزة لوجستيات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.52,6.0507,6.05,0.9776,0.4693,51,143,64.69
مصر خدمات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.48,6.0507,6.05,0.9776,0.4293,53,143,63.64
الدلتا زراعة ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.44,6.0507,6.05,0.9776,0.3893,54,143,62.94
اللوتس تقنية محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.41,6.0507,6.05,0.9776,0.3593,55,143,62.24
الدلتا صلب ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.39,6.0507,6.05,0.9776,0.3393,56,143,61.19
القاهرة تقنية ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.39,6.0507,6.05,0.9776,0.3393,56,143,61.19
الإسكندرية لوجستيات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.37,6.0507,6.05,0.9776,0.3193,58,143,60.14
مصر لوجستيات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.33,6.0507,6.05,0.9776,0.2793,59,143,59.44
الجيزة أغذية ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.31,6.0507,6.05,0.9776,0.2593,60,143,58.74
مصر تجارة محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.3,6.0507,6.05,0.9776,0.2493,61,143,58.04
الدلتا تقنية ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.28,6.0507,6.05,0.9776,0.2293,62,143,57.34
القاهرة تقنية ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.2,6.0507,6.05,0.9776,0.1493,63,143,56.64
حورس صلب محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.19,6.0507,6.05,0.9776,0.1393,64,143,55.94
الجيزة خدمات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.18,6.0507,6.05,0.9776,0.1293,65,143,54.9
الدلتا صلب محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.18,6.0507,6.05,0.9776,0.1293,65,143,54.9
اللوتس بلاستيك ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.17,6.0507,6.05,0.9776,0.1193,67,143,53.85
الجيزة زراعة ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.16,6.0507,6.05,0.9776,0.1093,68,143,53.15
الجيزة زراعة ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.09,6.0507,6.05,0.9776,0.0393,69,143,52.45
سيناء صلب ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.07,6.0507,6.05,0.9776,0.0193,70,143,51.75
النيل زراعة ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.06,6.0507,6.05,0.9776,0.0093,71,143,51.05
اللوتس خدمات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.05,6.0507,6.05,0.9776,-0.0007,72,143,50.35
الجيزة صلب ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,6.0,6.0507,6.05,0.9776,-0.0507,73,143,49.65
الإسكندرية صلب ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.98,6.0507,6.05,0.9776,-0.0707,74,143,48.95
الدلتا تجارة ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.97,6.0507,6.05,0.9776,-0.0807,75,143,48.25
الجيزة كيماويات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.96,6.0507,6.05,0.9776,-0.0907,76,143,47.2
الدلتا خدمات ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.96,6.0507,6.05,0.9776,-0.0907,76,143,47.2
اللوتس بلاستيك ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.95,6.0507,6.05,0.9776,-0.1007,78,143,46.15
النيل تقنية ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.94,6.0507,6.05,0.9776,-0.1107,79,143,45.45
مصر تجارة ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.92,6.0507,6.05,0.9776,-0.1307,80,143,44.76
الجيزة زراعة ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.9,6.0507,6.05,0.9776,-0.1507,81,143,44.06
النيل تجارة محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.88,6.0507,6.05,0.9776,-0.1707,82,143,43.36
النيل زراعة محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.87,6.0507,6.05,0.9776,-0.1807,83,143,42.31
النيل خدمات ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.87,6.0507,6.05,0.9776,-0.1807,83,143,42.31
الجيزة صلب ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.85,6.0507,6.05,0.9776,-0.2007,85,143,41.26
الجيزة صلب ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.83,6.0507,6.05,0.9776,-0.2207,86,143,40.21
اللوتس زراعة ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.83,6.0507,6.05,0.9776,-0.2207,86,143,40.21
حورس بلاستيك ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.81,6.0507,6.05,0.9776,-0.2407,88,143,39.16
القاهرة منسوجات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.74,6.0507,6.05,0.9776,-0.3107,89,143,38.46
الأهرام لوجستيات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.72,6.0507,6.05,0.9776,-0.3307,90,143,37.76
سيناء بلاستيك محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.7,6.0507,6.05,0.9776,-0.3507,91,143,37.06
الأهرام أغذية ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.69,6.0507,6.05,0.9776,-0.3607,92,143,36.36
القاهرة أغذية ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.64,6.0507,6.05,0.9776,-0.4107,93,143,35.66
الأهرام بلاستيك ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.59,6.0507,6.05,0.9776,-0.4607,94,143,34.97
سيناء بلاستيك ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.54,6.0507,6.05,0.9776,-0.5107,95,143,34.27
الإسكندرية صلب محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.52,6.0507,6.05,0.9776,-0.5307,96,143,33.57
حورس زراعة ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.51,6.0507,6.05,0.9776,-0.5407,97,143,32.87
الدلتا زراعة ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.5,6.0507,6.05,0.9776,-0.5507,98,143,32.17
سيناء تجارة ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.47,6.0507,6.05,0.9776,-0.5807,99,143,31.12
سيناء منسوجات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.47,6.0507,6.05,0.9776,-0.5807,99,143,31.12
النيل صلب ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.44,6.0507,6.05,0.9776,-0.6107,101,143,30.07
مصر زراعة ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.43,6.0507,6.05,0.9776,-0.6207,102,143,29.37
الدلتا كيماويات ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.42,6.0507,6.05,0.9776,-0.6307,103,143,28.67
الدلتا صلب ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.41,6.0507,6.05,0.9776,-0.6407,104,143,27.97
الدلتا تقنية ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.4,6.0507,6.05,0.9776,-0.6507,105,143,26.92
الدلتا خدمات ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.4,6.0507,6.05,0.9776,-0.6507,105,143,26.92
اللوتس لوجستيات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.37,6.0507,6.05,0.9776,-0.6807,107,143,25.52
القاهرة تجارة محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.37,6.0507,6.05,0.9776,-0.6807,107,143,25.52
اللوتس أغذية ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.36,6.0507,6.05,0.9776,-0.6907,109,143,24.48
سيناء لوجستيات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.33,6.0507,6.05,0.9776,-0.7207,110,143,23.78
سيناء منسوجات ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.32,6.0507,6.05,0.9776,-0.7307,111,143,23.08
حورس تجارة محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.31,6.0507,6.05,0.9776,-0.7407,112,143,22.38
سيناء لوجستيات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.26,6.0507,6.05,0.9776,-0.7907,113,143,21.33
النيل تجارة ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.26,6.0507,6.05,0.9776,-0.7907,113,143,21.33
الجيزة بلاستيك ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.24,6.0507,6.05,0.9776,-0.8107,115,143,19.93
سيناء لوجستيات ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.24,6.0507,6.05,0.9776,-0.8107,115,143,19.93
الإسكندرية صلب ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.23,6.0507,6.05,0.9776,-0.8207,117,143,18.88
الجيزة كيماويات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.22,6.0507,6.05,0.9776,-0.8307,118,143,18.18
الأهرام خدمات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.21,6.0507,6.05,0.9776,-0.8407,119,143,17.48
الدلتا تقنية ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.19,6.0507,6.05,0.9776,-0.8607,120,143,16.78
الجيزة تجارة ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.17,6.0507,6.05,0.9776,-0.8807,121,143,16.08
القاهرة زراعة محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.16,6.0507,6.05,0.9776,-0.8907,122,143,15.38
القاهرة لوجستيات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.06,6.0507,6.05,0.9776,-0.9907,123,143,14.69
اللوتس زراعة ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.02,6.0507,6.05,0.9776,-1.0307,124,143,13.99
النيل لوجستيات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,5.01,6.0507,6.05,0.9776,-1.0407,125,143,13.29
مصر زراعة محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,4.97,6.0507,6.05,0.9776,-1.0807,126,143,12.59
الإسكندرية تجارة ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,4.85,6.0507,6.05,0.9776,-1.2007,127,143,11.89
القاهرة صلب ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,4.84,6.0507,6.05,0.9776,-1.2107,128,143,11.19
النيل لوجستيات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,4.78,6.0507,6.05,0.9776,-1.2707,129,143,10.49
النيل تجارة محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,4.74,6.0507,6.05,0.9776,-1.3107,130,143,9.79
سيناء كيماويات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,4.71,6.0507,6.05,0.9776,-1.3407,131,143,9.09
الأهرام تقنية ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,4.61,6.0507,6.05,0.9776,-1.4407,132,143,8.39
النيل بلاستيك ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,4.58,6.0507,6.05,0.9776,-1.4707,133,143,7.69
الجيزة تجارة ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,4.56,6.0507,6.05,0.9776,-1.4907,134,143,6.99
سيناء خدمات ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,4.55,6.0507,6.05,0.9776,-1.5007,135,143,6.29
النيل أغذية ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,4.46,6.0507,6.05,0.9776,-1.5907,136,143,5.59
الإسكندرية أغذية ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,4.4,6.0507,6.05,0.9776,-1.6507,137,143,4.9
الدلتا أغذية ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,4.37,6.0507,6.05,0.9776,-1.6807,138,143,4.2
سيناء زراعة ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,4.26,6.0507,6.05,0.9776,-1.7907,139,143,3.5
الإسكندرية منسوجات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,4.18,6.0507,6.05,0.9776,-1.8707,140,143,2.8
القاهرة زراعة ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,3.99,6.0507,6.05,0.9776,-2.0607,141,143,2.1
النيل بلاستيك ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,3.52,6.0507,6.05,0.9776,-2.5307,142,143,1.4
الجيزة صلب ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,medium,2.83,6.0507,6.05,0.9776,-3.2207,143,143,0.7
القاهرة أغذية ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,7.41,4.2847,4.26,1.1172,3.1253,1,203,100.0
الإسكندرية زراعة ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,7.14,4.2847,4.26,1.1172,2.8553,2,203,99.51
القاهرة تجارة ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,7.1,4.2847,4.26,1.1172,2.8153,3,203,99.01
القاهرة تقنية ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,7.08,4.2847,4.26,1.1172,2.7953,4,203,98.52
القاهرة خدمات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,6.71,4.2847,4.26,1.1172,2.4253,5,203,98.03
الجيزة كيماويات ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,6.5,4.2847,4.26,1.1172,2.2153,6,203,97.54
النيل صلب محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,6.45,4.2847,4.26,1.1172,2.1653,7,203,97.04
الإسكندرية لوجستيات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,6.23,4.2847,4.26,1.1172,1.9453,8,203,96.55
القاهرة زراعة محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,6.09,4.2847,4.26,1.1172,1.8053,9,203,96.06
القاهرة تقنية ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,6.07,4.2847,4.26,1.1172,1.7853,10,203,95.57
الجيزة بلاستيك ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,6.06,4.2847,4.26,1.1172,1.7753,11,203,95.07
الجيزة خدمات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.99,4.2847,4.26,1.1172,1.7053,12,203,94.33
الإسكندرية أغذية محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.99,4.2847,4.26,1.1172,1.7053,12,203,94.33
الدلتا أغذية ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.98,4.2847,4.26,1.1172,1.6953,14,203,93.6
اللوتس صلب ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.97,4.2847,4.26,1.1172,1.6853,15,203,92.86
القاهرة خدمات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.97,4.2847,4.26,1.1172,1.6853,15,203,92.86
سيناء كيماويات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.92,4.2847,4.26,1.1172,1.6353,17,203,92.12
الإسكندرية لوجستيات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.84,4.2847,4.26,1.1172,1.5553,18,203,91.63
النيل زراعة ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.82,4.2847,4.26,1.1172,1.5353,19,203,91.13
الأهرام خدمات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.78,4.2847,4.26,1.1172,1.4953,20,203,90.64
الدلتا كيماويات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.69,4.2847,4.26,1.1172,1.4053,21,203,90.15
اللوتس منسوجات ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.67,4.2847,4.26,1.1172,1.3853,22,203,89.66
سيناء خدمات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.66,4.2847,4.26,1.1172,1.3753,23,203,88.92
الدلتا خدمات ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.66,4.2847,4.26,1.1172,1.3753,23,203,88.92
الأهرام منسوجات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.65,4.2847,4.26,1.1172,1.3653,25,203,88.18
الأهرام لوجستيات ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.61,4.2847,4.26,1.1172,1.3253,27,203,87.19
الأهرام صلب ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.61,4.2847,4.26,1.1172,1.3253,27,203,87.19
الجيزة تقنية محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.61,4.2847,4.26,1.1172,1.3253,27,203,87.19
النيل تقنية محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.6,4.2847,4.26,1.1172,1.3153,29,203,86.21
سيناء زراعة ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.59,4.2847,4.26,1.1172,1.3053,30,203,85.71
حورس تجارة ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.55,4.2847,4.26,1.1172,1.2653,31,203,85.22
حورس لوجستيات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.49,4.2847,4.26,1.1172,1.2053,32,203,84.73
مصر لوجستيات ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.44,4.2847,4.26,1.1172,1.1553,33,203,84.24
حورس منسوجات ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.4,4.2847,4.26,1.1172,1.1153,34,203,83.74
القاهرة زراعة ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.34,4.2847,4.26,1.1172,1.0553,35,203,83.25
حورس كيماويات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.29,4.2847,4.26,1.1172,1.0053,36,203,82.76
حورس تجارة ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.27,4.2847,4.26,1.1172,0.9853,37,203,82.27
الدلتا كيماويات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.26,4.2847,4.26,1.1172,0.9753,38,203,81.77
النيل أغذية ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.24,4.2847,4.26,1.1172,0.9553,39,203,81.28
اللوتس خدمات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.2,4.2847,4.26,1.1172,0.9153,40,203,80.79
سيناء تجارة ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.17,4.2847,4.26,1.1172,0.8853,41,203,80.3
النيل أغذية محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.15,4.2847,4.26,1.1172,0.8653,42,203,79.8
اللوتس صلب ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.14,4.2847,4.26,1.1172,0.8553,43,203,79.31
النيل صلب ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.13,4.2847,4.26,1.1172,0.8453,44,203,78.82
القاهرة تجارة ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.1,4.2847,4.26,1.1172,0.8153,45,203,78.33
اللوتس خدمات ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.08,4.2847,4.26,1.1172,0.7953,46,203,77.83
النيل زراعة ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.07,4.2847,4.26,1.1172,0.7853,47,203,77.09
الجيزة أغذية ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.07,4.2847,4.26,1.1172,0.7853,47,203,77.09
الأهرام أغذية ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.05,4.2847,4.26,1.1172,0.7653,49,203,76.35
الإسكندرية بلاستيك ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.02,4.2847,4.26,1.1172,0.7353,50,203,75.86
الأهرام أغذية ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.0,4.2847,4.26,1.1172,0.7153,51,203,75.12
النيل منسوجات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,5.0,4.2847,4.26,1.1172,0.7153,51,203,75.12
الإسكندرية كيماويات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.99,4.2847,4.26,1.1172,0.7053,53,203,74.38
حورس تقنية ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.96,4.2847,4.26,1.1172,0.6753,54,203,73.89
القاهرة صلب ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.95,4.2847,4.26,1.1172,0.6653,55,203,73.4
الإسكندرية تقنية ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.91,4.2847,4.26,1.1172,0.6253,56,203,72.91
النيل بلاستيك ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.88,4.2847,4.26,1.1172,0.5953,57,203,72.41
الأهرام كيماويات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.86,4.2847,4.26,1.1172,0.5753,58,203,71.92
الأهرام تقنية ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.84,4.2847,4.26,1.1172,0.5553,59,203,71.18
النيل خدمات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.84,4.2847,4.26,1.1172,0.5553,59,203,71.18
سيناء بلاستيك ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.83,4.2847,4.26,1.1172,0.5453,61,203,70.44
اللوتس بلاستيك ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.82,4.2847,4.26,1.1172,0.5353,62,203,69.7
الجيزة زراعة ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.82,4.2847,4.26,1.1172,0.5353,62,203,69.7
مصر خدمات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.81,4.2847,4.26,1.1172,0.5253,64,203,68.72
حورس بلاستيك محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.81,4.2847,4.26,1.1172,0.5253,64,203,68.72
الجيزة أغذية ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.79,4.2847,4.26,1.1172,0.5053,66,203,67.98
اللوتس خدمات محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.74,4.2847,4.26,1.1172,0.4553,67,203,67.49
حورس تقنية ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.7,4.2847,4.26,1.1172,0.4153,69,203,66.5
حورس خدمات ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.7,4.2847,4.26,1.1172,0.4153,69,203,66.5
اللوتس تجارة ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.7,4.2847,4.26,1.1172,0.4153,69,203,66.5
الدلتا خدمات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.67,4.2847,4.26,1.1172,0.3853,71,203,65.52
الإسكندرية زراعة ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.65,4.2847,4.26,1.1172,0.3653,73,203,64.29
الدلتا صلب ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.65,4.2847,4.26,1.1172,0.3653,73,203,64.29
النيل تقنية ش.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.65,4.2847,4.26,1.1172,0.3653,73,203,64.29
النيل كيماويات ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.65,4.2847,4.26,1.1172,0.3653,73,203,64.29
الإسكندرية لوجستيات ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.64,4.2847,4.26,1.1172,0.3553,76,203,63.05
القاهرة بلاستيك محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.6,4.2847,4.26,1.1172,0.3153,77,203,62.56
مصر تقنية ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.59,4.2847,4.26,1.1172,0.3053,78,203,62.07
الجيزة تقنية محدودة,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.56,4.2847,4.26,1.1172,0.2753,79,203,61.58
اللوتس لوجستيات ش.ذ.م.م,2022,أنشطة الخدمات الإدارية وخدمات الدعم,small,4.55,4.2847,4.26,1.1172,0.2653,80,203,60.84
